;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 06/24/2016 10:55:22 Þ.Ù
;----------------------------------------------

;Address Opcode 	ASM
;MyProject.mbas,859 :: 		Lcd_Cmd(_LCD_CLEAR)               ' Clear display
0x162A	0xE0B1    	LDI        R27, 1
0x162C	0x2E2B    	MOV        R2, R27
0x162E	0xDADB    	RCALL      _Lcd_Cmd+0
;MyProject.mbas,860 :: 		Lcd_Cmd(_LCD_CURSOR_OFF)
0x1630	0xE0BC    	LDI        R27, 12
0x1632	0x2E2B    	MOV        R2, R27
0x1634	0xDAD8    	RCALL      _Lcd_Cmd+0
;MyProject.mbas,861 :: 		Lcd_Out(1,1,"Waiting For ")
0x1636	0x01FE    	MOVW       R30, R28
0x1638	0xE5B7    	LDI        R27, 87
0x163A	0x93B1    	ST         Z+, R27
0x163C	0xE6B1    	LDI        R27, 97
0x163E	0x93B1    	ST         Z+, R27
0x1640	0xE6B9    	LDI        R27, 105
0x1642	0x93B1    	ST         Z+, R27
0x1644	0xE7B4    	LDI        R27, 116
0x1646	0x93B1    	ST         Z+, R27
0x1648	0xE6B9    	LDI        R27, 105
0x164A	0x93B1    	ST         Z+, R27
0x164C	0xE6BE    	LDI        R27, 110
0x164E	0x93B1    	ST         Z+, R27
0x1650	0xE6B7    	LDI        R27, 103
0x1652	0x93B1    	ST         Z+, R27
0x1654	0xE2B0    	LDI        R27, 32
0x1656	0x93B1    	ST         Z+, R27
0x1658	0xE4B6    	LDI        R27, 70
0x165A	0x93B1    	ST         Z+, R27
0x165C	0xE6BF    	LDI        R27, 111
0x165E	0x93B1    	ST         Z+, R27
0x1660	0xE7B2    	LDI        R27, 114
0x1662	0x93B1    	ST         Z+, R27
0x1664	0xE2B0    	LDI        R27, 32
0x1666	0x93B1    	ST         Z+, R27
0x1668	0xE0B0    	LDI        R27, 0
0x166A	0x93B1    	ST         Z+, R27
0x166C	0x018E    	MOVW       R16, R28
0x166E	0x0128    	MOVW       R4, R16
0x1670	0xE0B1    	LDI        R27, 1
0x1672	0x2E3B    	MOV        R3, R27
0x1674	0xE0B1    	LDI        R27, 1
0x1676	0x2E2B    	MOV        R2, R27
0x1678	0xDEDA    	RCALL      _Lcd_Out+0
;MyProject.mbas,862 :: 		Lcd_Out(2,1,"To Be Pressed")
0x167A	0x01FE    	MOVW       R30, R28
0x167C	0xE5B4    	LDI        R27, 84
0x167E	0x93B1    	ST         Z+, R27
0x1680	0xE6BF    	LDI        R27, 111
0x1682	0x93B1    	ST         Z+, R27
0x1684	0xE2B0    	LDI        R27, 32
0x1686	0x93B1    	ST         Z+, R27
0x1688	0xE4B2    	LDI        R27, 66
0x168A	0x93B1    	ST         Z+, R27
0x168C	0xE6B5    	LDI        R27, 101
0x168E	0x93B1    	ST         Z+, R27
0x1690	0xE2B0    	LDI        R27, 32
0x1692	0x93B1    	ST         Z+, R27
0x1694	0xE5B0    	LDI        R27, 80
0x1696	0x93B1    	ST         Z+, R27
0x1698	0xE7B2    	LDI        R27, 114
0x169A	0x93B1    	ST         Z+, R27
0x169C	0xE6B5    	LDI        R27, 101
0x169E	0x93B1    	ST         Z+, R27
0x16A0	0xE7B3    	LDI        R27, 115
0x16A2	0x93B1    	ST         Z+, R27
0x16A4	0xE7B3    	LDI        R27, 115
0x16A6	0x93B1    	ST         Z+, R27
0x16A8	0xE6B5    	LDI        R27, 101
0x16AA	0x93B1    	ST         Z+, R27
0x16AC	0xE6B4    	LDI        R27, 100
0x16AE	0x93B1    	ST         Z+, R27
0x16B0	0xE0B0    	LDI        R27, 0
0x16B2	0x93B1    	ST         Z+, R27
0x16B4	0x018E    	MOVW       R16, R28
0x16B6	0x0128    	MOVW       R4, R16
0x16B8	0xE0B1    	LDI        R27, 1
0x16BA	0x2E3B    	MOV        R3, R27
0x16BC	0xE0B2    	LDI        R27, 2
0x16BE	0x2E2B    	MOV        R2, R27
0x16C0	0xDEB6    	RCALL      _Lcd_Out+0
;MyProject.mbas,863 :: 		PWM_Initialize ()
0x16C2	0xDE6D    	RCALL      _PWM_Initialize+0
;MyProject.mbas,864 :: 		DDD2_bit = 0                                        ' set Button pin as input
0x16C4	0xB3B1    	IN         R27, DDD2_bit+0
0x16C6	0x7FBB    	CBR        R27, 4
0x16C8	0xBBB1    	OUT        DDD2_bit+0, R27
;MyProject.mbas,866 :: 		ISC00_bit = 1                                    '' // Set interrupts to be detected on rising edge
0x16CA	0xB7B5    	IN         R27, ISC00_bit+0
0x16CC	0x60B1    	SBR        R27, 1
0x16CE	0xBFB5    	OUT        ISC00_bit+0, R27
;MyProject.mbas,868 :: 		SREG_I_bit = 0
0x16D0	0xB7BF    	IN         R27, SREG_I_bit+0
0x16D2	0x77BF    	CBR        R27, 128
0x16D4	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.mbas,870 :: 		SREG_I_bit = 1
0x16D6	0xB7BF    	IN         R27, SREG_I_bit+0
0x16D8	0x68B0    	SBR        R27, 128
0x16DA	0xBFBF    	OUT        SREG_I_bit+0, R27
;MyProject.mbas,872 :: 		INT0_bit = 1
0x16DC	0xB7BB    	IN         R27, INT0_bit+0
0x16DE	0x64B0    	SBR        R27, 64
0x16E0	0xBFBB    	OUT        INT0_bit+0, R27
;MyProject.mbas,875 :: 		mode=1
0x16E2	0xE0B1    	LDI        R27, 1
0x16E4	0x006493B0  	STS        _mode+0, R27
0x16E8	0xE0B0    	LDI        R27, 0
0x16EA	0x006593B0  	STS        _mode+1, R27
;MyProject.mbas,881 :: 		while TRUE
L__main260:
;MyProject.mbas,888 :: 		case 1
0x16EE	0x00649100  	LDS        R16, _mode+0
0x16F2	0x00659110  	LDS        R17, _mode+1
0x16F6	0x3010    	CPI        R17, 0
0x16F8	0xF409    	BRNE       L__main377
0x16FA	0x3001    	CPI        R16, 1
L__main377:
0x16FC	0xF461    	BRNE       L__main267
L__main378:
;MyProject.mbas,889 :: 		K=0
0x16FE	0xE0B0    	LDI        R27, 0
0x1700	0x006093B0  	STS        _K+0, R27
0x1704	0x006193B0  	STS        _K+1, R27
;MyProject.mbas,890 :: 		Lcd_0()
0x1708	0xDE88    	RCALL      _Lcd_0+0
;MyProject.mbas,891 :: 		LOOP11(k)
0x170A	0x00609020  	LDS        R2, _K+0
0x170E	0x00619030  	LDS        R3, _K+1
0x1712	0xDECE    	RCALL      _LOOP11+0
0x1714	0xC03A    	RJMP       L__main264
L__main267:
;MyProject.mbas,892 :: 		case 2  ''######## warm
0x1716	0x00649100  	LDS        R16, _mode+0
0x171A	0x00659110  	LDS        R17, _mode+1
0x171E	0x3010    	CPI        R17, 0
0x1720	0xF409    	BRNE       L__main379
0x1722	0x3002    	CPI        R16, 2
L__main379:
0x1724	0xF439    	BRNE       L__main270
L__main380:
;MyProject.mbas,893 :: 		Lcd_0()
0x1726	0xDE79    	RCALL      _Lcd_0+0
;MyProject.mbas,894 :: 		loop22(K)
0x1728	0x00609020  	LDS        R2, _K+0
0x172C	0x00619030  	LDS        R3, _K+1
0x1730	0xDBA9    	RCALL      _loop22+0
0x1732	0xC02B    	RJMP       L__main264
L__main270:
;MyProject.mbas,895 :: 		case 3
0x1734	0x00649100  	LDS        R16, _mode+0
0x1738	0x00659110  	LDS        R17, _mode+1
0x173C	0x3010    	CPI        R17, 0
0x173E	0xF409    	BRNE       L__main381
0x1740	0x3003    	CPI        R16, 3
L__main381:
0x1742	0xF439    	BRNE       L__main273
L__main382:
;MyProject.mbas,896 :: 		Lcd_0()
0x1744	0xDE6A    	RCALL      _Lcd_0+0
;MyProject.mbas,897 :: 		loop33(K)
0x1746	0x00609020  	LDS        R2, _K+0
0x174A	0x00619030  	LDS        R3, _K+1
0x174E	0xDD07    	RCALL      _loop33+0
0x1750	0xC01C    	RJMP       L__main264
L__main273:
;MyProject.mbas,898 :: 		case 4
0x1752	0x00649100  	LDS        R16, _mode+0
0x1756	0x00659110  	LDS        R17, _mode+1
0x175A	0x3010    	CPI        R17, 0
0x175C	0xF409    	BRNE       L__main383
0x175E	0x3004    	CPI        R16, 4
L__main383:
0x1760	0xF459    	BRNE       L__main276
L__main384:
;MyProject.mbas,899 :: 		Lcd_0()
0x1762	0xDE5B    	RCALL      _Lcd_0+0
;MyProject.mbas,900 :: 		PROGRAM8(0,dl2)
0x1764	0x00729040  	LDS        R4, _dl2+0
0x1768	0x00739050  	LDS        R5, _dl2+1
0x176C	0x2422    	CLR        R2
0x176E	0x2433    	CLR        R3
0x1770	0xE9E7    	LDI        R30, _PROGRAM8+0
0x1772	0xE0F3    	LDI        R31, hi_addr(_PROGRAM8+0)
0x1774	0x9509    	ICALL
0x1776	0xC009    	RJMP       L__main264
L__main276:
;MyProject.mbas,902 :: 		PROGRAM8(0,dl2)
0x1778	0x00729040  	LDS        R4, _dl2+0
0x177C	0x00739050  	LDS        R5, _dl2+1
0x1780	0x2422    	CLR        R2
0x1782	0x2433    	CLR        R3
0x1784	0xE9E7    	LDI        R30, _PROGRAM8+0
0x1786	0xE0F3    	LDI        R31, hi_addr(_PROGRAM8+0)
0x1788	0x9509    	ICALL
L__main264:
;MyProject.mbas,904 :: 		wend
0x178A	0xCFB1    	RJMP       L__main260
L_end_main:
0x178C	0x905F    	POP        R5
0x178E	0x904F    	POP        R4
0x1790	0x903F    	POP        R3
0x1792	0x902F    	POP        R2
L__main_end_loop:
0x1794	0xCFFF    	RJMP       L__main_end_loop
; end of _main
_Lcd_Init:
;__Lib_Lcd.mpas,104 :: 		
;__Lib_Lcd.mpas,106 :: 		
0x09B8	0x003591B0  	LDS        R27, LCD_EN+0
0x09BC	0x7EBF    	CBR        R27, 16
0x09BE	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,107 :: 		
0x09C2	0x003591B0  	LDS        R27, LCD_RS+0
0x09C6	0x7DBF    	CBR        R27, 32
0x09C8	0x003593B0  	STS        LCD_RS+0, R27
;__Lib_Lcd.mpas,108 :: 		
0x09CC	0x003591B0  	LDS        R27, LCD_D7+0
0x09D0	0x7FBE    	CBR        R27, 1
0x09D2	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.mpas,109 :: 		
0x09D6	0x003591B0  	LDS        R27, LCD_D6+0
0x09DA	0x7FBD    	CBR        R27, 2
0x09DC	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.mpas,110 :: 		
0x09E0	0x003591B0  	LDS        R27, LCD_D5+0
0x09E4	0x7FBB    	CBR        R27, 4
0x09E6	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.mpas,111 :: 		
0x09EA	0x003591B0  	LDS        R27, LCD_D4+0
0x09EE	0x7FB7    	CBR        R27, 8
0x09F0	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,113 :: 		
0x09F4	0x003491B0  	LDS        R27, LCD_EN_Direction+0
0x09F8	0x61B0    	SBR        R27, 16
0x09FA	0x003493B0  	STS        LCD_EN_Direction+0, R27
;__Lib_Lcd.mpas,114 :: 		
0x09FE	0x003491B0  	LDS        R27, LCD_RS_Direction+0
0x0A02	0x62B0    	SBR        R27, 32
0x0A04	0x003493B0  	STS        LCD_RS_Direction+0, R27
;__Lib_Lcd.mpas,115 :: 		
0x0A08	0x003491B0  	LDS        R27, LCD_D4_Direction+0
0x0A0C	0x60B8    	SBR        R27, 8
0x0A0E	0x003493B0  	STS        LCD_D4_Direction+0, R27
;__Lib_Lcd.mpas,116 :: 		
0x0A12	0x003491B0  	LDS        R27, LCD_D5_Direction+0
0x0A16	0x60B4    	SBR        R27, 4
0x0A18	0x003493B0  	STS        LCD_D5_Direction+0, R27
;__Lib_Lcd.mpas,117 :: 		
0x0A1C	0x003491B0  	LDS        R27, LCD_D6_Direction+0
0x0A20	0x60B2    	SBR        R27, 2
0x0A22	0x003493B0  	STS        LCD_D6_Direction+0, R27
;__Lib_Lcd.mpas,118 :: 		
0x0A26	0x003491B0  	LDS        R27, LCD_D7_Direction+0
0x0A2A	0x60B1    	SBR        R27, 1
0x0A2C	0x003493B0  	STS        LCD_D7_Direction+0, R27
;__Lib_Lcd.mpas,120 :: 		
0x0A30	0xDB30    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,121 :: 		
0x0A32	0xDB2F    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,122 :: 		
0x0A34	0xDB2E    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,125 :: 		
0x0A36	0x003591B0  	LDS        R27, LCD_D5+0
0x0A3A	0x60B4    	SBR        R27, 4
0x0A3C	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.mpas,126 :: 		
0x0A40	0x003591B0  	LDS        R27, LCD_D4+0
0x0A44	0x60B8    	SBR        R27, 8
0x0A46	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,127 :: 		
0x0A4A	0x003591B0  	LDS        R27, LCD_EN+0
0x0A4E	0x61B0    	SBR        R27, 16
0x0A50	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,128 :: 		
0x0A54	0xDAF5    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,129 :: 		
0x0A56	0x003591B0  	LDS        R27, LCD_EN+0
0x0A5A	0x7EBF    	CBR        R27, 16
0x0A5C	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,130 :: 		
0x0A60	0xDB18    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,132 :: 		
0x0A62	0x003591B0  	LDS        R27, LCD_EN+0
0x0A66	0x61B0    	SBR        R27, 16
0x0A68	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,133 :: 		
0x0A6C	0xDAE9    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,134 :: 		
0x0A6E	0x003591B0  	LDS        R27, LCD_EN+0
0x0A72	0x7EBF    	CBR        R27, 16
0x0A74	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,135 :: 		
0x0A78	0xDB0C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,137 :: 		
0x0A7A	0x003591B0  	LDS        R27, LCD_EN+0
0x0A7E	0x61B0    	SBR        R27, 16
0x0A80	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,138 :: 		
0x0A84	0xDADD    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,139 :: 		
0x0A86	0x003591B0  	LDS        R27, LCD_EN+0
0x0A8A	0x7EBF    	CBR        R27, 16
0x0A8C	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,140 :: 		
0x0A90	0xDB00    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,143 :: 		
0x0A92	0x003591B0  	LDS        R27, LCD_D4+0
0x0A96	0x7FB7    	CBR        R27, 8
0x0A98	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,144 :: 		
0x0A9C	0x003591B0  	LDS        R27, LCD_EN+0
0x0AA0	0x61B0    	SBR        R27, 16
0x0AA2	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,145 :: 		
0x0AA6	0xDACC    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,146 :: 		
0x0AA8	0x003591B0  	LDS        R27, LCD_EN+0
0x0AAC	0x7EBF    	CBR        R27, 16
0x0AAE	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,147 :: 		
0x0AB2	0xDAEF    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,150 :: 		
0x0AB4	0x003591B0  	LDS        R27, LCD_EN+0
0x0AB8	0x61B0    	SBR        R27, 16
0x0ABA	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,151 :: 		
0x0ABE	0xDAC0    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,152 :: 		
0x0AC0	0x003591B0  	LDS        R27, LCD_EN+0
0x0AC4	0x7EBF    	CBR        R27, 16
0x0AC6	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,154 :: 		
0x0ACA	0x003591B0  	LDS        R27, LCD_D5+0
0x0ACE	0x7FBB    	CBR        R27, 4
0x0AD0	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.mpas,155 :: 		
0x0AD4	0x003591B0  	LDS        R27, LCD_D7+0
0x0AD8	0x60B1    	SBR        R27, 1
0x0ADA	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.mpas,156 :: 		
0x0ADE	0x003591B0  	LDS        R27, LCD_EN+0
0x0AE2	0x61B0    	SBR        R27, 16
0x0AE4	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,157 :: 		
0x0AE8	0xDAAB    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,158 :: 		
0x0AEA	0x003591B0  	LDS        R27, LCD_EN+0
0x0AEE	0x7EBF    	CBR        R27, 16
0x0AF0	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,159 :: 		
0x0AF4	0xDACE    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,162 :: 		
0x0AF6	0x003591B0  	LDS        R27, LCD_D7+0
0x0AFA	0x7FBE    	CBR        R27, 1
0x0AFC	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.mpas,163 :: 		
0x0B00	0x003591B0  	LDS        R27, LCD_D4+0
0x0B04	0x60B8    	SBR        R27, 8
0x0B06	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,164 :: 		
0x0B0A	0x003591B0  	LDS        R27, LCD_EN+0
0x0B0E	0x61B0    	SBR        R27, 16
0x0B10	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,165 :: 		
0x0B14	0xDA95    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,166 :: 		
0x0B16	0x003591B0  	LDS        R27, LCD_EN+0
0x0B1A	0x7EBF    	CBR        R27, 16
0x0B1C	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,168 :: 		
0x0B20	0x003591B0  	LDS        R27, LCD_D4+0
0x0B24	0x7FB7    	CBR        R27, 8
0x0B26	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,169 :: 		
0x0B2A	0x003591B0  	LDS        R27, LCD_EN+0
0x0B2E	0x61B0    	SBR        R27, 16
0x0B30	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,170 :: 		
0x0B34	0xDA85    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,171 :: 		
0x0B36	0x003591B0  	LDS        R27, LCD_EN+0
0x0B3A	0x7EBF    	CBR        R27, 16
0x0B3C	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,172 :: 		
0x0B40	0xDAA8    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,175 :: 		
0x0B42	0x003591B0  	LDS        R27, LCD_EN+0
0x0B46	0x61B0    	SBR        R27, 16
0x0B48	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,176 :: 		
0x0B4C	0xDA79    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,177 :: 		
0x0B4E	0x003591B0  	LDS        R27, LCD_EN+0
0x0B52	0x7EBF    	CBR        R27, 16
0x0B54	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,179 :: 		
0x0B58	0x003591B0  	LDS        R27, LCD_D4+0
0x0B5C	0x60B8    	SBR        R27, 8
0x0B5E	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,180 :: 		
0x0B62	0x003591B0  	LDS        R27, LCD_EN+0
0x0B66	0x61B0    	SBR        R27, 16
0x0B68	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,181 :: 		
0x0B6C	0xDA69    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,182 :: 		
0x0B6E	0x003591B0  	LDS        R27, LCD_EN+0
0x0B72	0x7EBF    	CBR        R27, 16
0x0B74	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,183 :: 		
0x0B78	0xDA8C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,186 :: 		
0x0B7A	0x003591B0  	LDS        R27, LCD_D4+0
0x0B7E	0x7FB7    	CBR        R27, 8
0x0B80	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,187 :: 		
0x0B84	0x003591B0  	LDS        R27, LCD_EN+0
0x0B88	0x61B0    	SBR        R27, 16
0x0B8A	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,188 :: 		
0x0B8E	0xDA58    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,189 :: 		
0x0B90	0x003591B0  	LDS        R27, LCD_EN+0
0x0B94	0x7EBF    	CBR        R27, 16
0x0B96	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,191 :: 		
0x0B9A	0x003591B0  	LDS        R27, LCD_D7+0
0x0B9E	0x60B1    	SBR        R27, 1
0x0BA0	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.mpas,192 :: 		
0x0BA4	0x003591B0  	LDS        R27, LCD_D6+0
0x0BA8	0x60B2    	SBR        R27, 2
0x0BAA	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.mpas,193 :: 		
0x0BAE	0x003591B0  	LDS        R27, LCD_D5+0
0x0BB2	0x60B4    	SBR        R27, 4
0x0BB4	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.mpas,194 :: 		
0x0BB8	0x003591B0  	LDS        R27, LCD_D4+0
0x0BBC	0x60B8    	SBR        R27, 8
0x0BBE	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,195 :: 		
0x0BC2	0x003591B0  	LDS        R27, LCD_EN+0
0x0BC6	0x61B0    	SBR        R27, 16
0x0BC8	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,196 :: 		
0x0BCC	0xDA39    	RCALL      _Delay_1us+0
;__Lib_Lcd.mpas,197 :: 		
0x0BCE	0x003591B0  	LDS        R27, LCD_EN+0
0x0BD2	0x7EBF    	CBR        R27, 16
0x0BD4	0x003593B0  	STS        LCD_EN+0, R27
;__Lib_Lcd.mpas,199 :: 		
0x0BD8	0xDA5C    	RCALL      _Delay_5500us+0
;__Lib_Lcd.mpas,201 :: 		
0x0BDA	0x007091B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0BDE	0x60B1    	SBR        R27, 1
0x0BE0	0x007093B0  	STS        __Lib_Lcd_cmd_status+0, R27
;__Lib_Lcd.mpas,202 :: 		
L_end_Lcd_Init:
0x0BE4	0x9508    	RET
; end of _Lcd_Init
_Delay_5500us:
;__Lib_Delays.mbas,67 :: 		sub procedure Delay_5500us()
;__Lib_Delays.mbas,68 :: 		Delay_us(5500)
0x0092	0xE31A    	LDI        R17, 58
0x0094	0xE203    	LDI        R16, 35
L__Delay_5500us20:
0x0096	0x950A    	DEC        R16
0x0098	0xF7F1    	BRNE       L__Delay_5500us20
0x009A	0x951A    	DEC        R17
0x009C	0xF7E1    	BRNE       L__Delay_5500us20
0x009E	0x0000    	NOP
0x00A0	0x0000    	NOP
;__Lib_Delays.mbas,69 :: 		end sub
L_end_Delay_5500us:
0x00A2	0x9508    	RET
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.mbas,43 :: 		sub procedure Delay_1us()
;__Lib_Delays.mbas,44 :: 		Delay_us(1)
0x0040	0xE002    	LDI        R16, 2
L__Delay_1us2:
0x0042	0x950A    	DEC        R16
0x0044	0xF7F1    	BRNE       L__Delay_1us2
0x0046	0x0000    	NOP
0x0048	0x0000    	NOP
;__Lib_Delays.mbas,45 :: 		end sub
L_end_Delay_1us:
0x004A	0x9508    	RET
; end of _Delay_1us
_Lcd_Cmd:
;__Lib_Lcd.mpas,33 :: 		
;__Lib_Lcd.mpas,34 :: 		
0x0BE6	0xFA27    	BST        R2, 7
0x0BE8	0x003591B0  	LDS        R27, LCD_D7+0
0x0BEC	0xF9B0    	BLD        R27, 0
0x0BEE	0x003593B0  	STS        LCD_D7+0, R27
;__Lib_Lcd.mpas,35 :: 		
0x0BF2	0xFA26    	BST        R2, 6
0x0BF4	0x003591B0  	LDS        R27, LCD_D6+0
0x0BF8	0xF9B1    	BLD        R27, 1
0x0BFA	0x003593B0  	STS        LCD_D6+0, R27
;__Lib_Lcd.mpas,36 :: 		
0x0BFE	0xFA25    	BST        R2, 5
0x0C00	0x003591B0  	LDS        R27, LCD_D5+0
0x0C04	0xF9B2    	BLD        R27, 2
0x0C06	0x003593B0  	STS        LCD_D5+0, R27
;__Lib_Lcd.mpas,37 :: 		
0x0C0A	0xFA24    	BST        R2, 4
0x0C0C	0x003591B0  	LDS        R27, LCD_D4+0
0x0C10	0xF9B3    	BLD        R27, 3
0x0C12	0x003593B0  	STS        LCD_D4+0, R27
;__Lib_Lcd.mpas,39 :: 		
0x0C16	0x007091B0  	LDS        R27, __Lib_Lcd_cmd_status+0
0x0C1A	0x00359000  	LDS        R0, LCD_RS+0
0x0C1E	0x94E8    	CLT
0x0C20	0xFFB0    	SBRS       R27, 0
0x0C22	0x9468    	SET
0x0C24	0xF805    	BLD        R0, 5
0x0C26	0x00359200  	STS        LCD_RS+0, R0
;__Lib_Lcd.mpas,42 :: 		
0x0C2A	0x003591B0  	LDS        R27, LCD_EN+0
0x0C2E	0x61B0    	SBR        R27, 16
